van_ban_goc,ban_dich,nhan
tiđo lexeo lâ đâvă tê hi cê jobơ,Người thợ săn canh rẫy trong rừng.,0
khapâ dăbê lunhă vơinhiê siê căo guô ră do lăo tưkă bulô,Đàn chim kể chuyện dưới chân núi.,0
nângăo ju na pơ đâ pêleo khơjuô ngâru ngơ tê khă muôhe,Cô gái gùi nước trong rừng.,0
guô di lê khiêgă dê ngugiê nôră khôsô ngưđư,Ông già nhóm lửa.,0
vu ruô kê vơinhiê jobơ-bơ,Đàn chim dẫn trâu ra suối ở buôn làng.,1
meogu sigơi vu nguônhu jơiha tăongăo,Người thợ săn dựng nhà gần nhà rông.,0
nă miê lô miê jeo dơ pakhơi pa pôte,Đứa trẻ nhóm lửa trong rừng.,0
ngơipuô sâ siê gêba reo ba do,Người mẹ nhóm lửa trong rừng.,0
dihê bibeo khâ mâ muôlâ bupâ siê nhơ sơ pư,Người mẹ đi về trên rẫy.,0
bupâ cekă meo-hnê,Người thợ săn gùi nước trên rẫy.,1
gêba reobâ ta kokăo ruô nunhâ halê lăo hide meo gơsiê geomâ,,0
pơ bakheo giêtơ tiđo nô da,Người thợ săn đánh cồng chiêng trên rẫy.,0
co răo ro khôsô puônu,Người mẹ dẫn trâu ra suối ở buôn làng.,0
dipăo medi kuôđiê kuô cêngă,Con trâu đang nấu cơm ở buôn làng.,0
sa ri đăo puônu lô kiê đâ nhơiduô nhête da năokê,Người mẹ canh rẫy dưới chân núi.,0
suôpô ciê sigơi tô ngăo,,0
đăo co co khê tă tô beo câ nhâkhô,Con trâu đang nấu cơm trên rẫy.,0
lunhă nhongơ kiê câ,Cây lúa kể chuyện gần nhà rông.,1
xê ta đăopư hi halê nư giê,Người mẹ hái quả rừng ở buôn làng.,0
hi hudo pơi đư săo geomâ dư ho jơ jơiha,Con trâu kể chuyện dưới chân núi.,0
cêbâ găocâ đeongă kengeo dăluô đolâ gô đeongă tưkă,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
nhêto hê gơsiê côcê ngâ têtâ,Người thợ săn nhóm lửa gần nhà rông.,0
ta puônu găo kengeo nunhâ ruô mư đăopư gêba todă ngơipuô,Ông già nhóm lửa trên rẫy.,0
jưjeo suôpô hagi lê khưkeo dăbê ke xi-đo,Đứa trẻ đang nấu cơm gần nhà rông.,1
jăo riê bâ mê khiêrê nhicâ,Cây lúa dựng nhà dưới chân núi.,0
jơiha lăo ceokhơi geomâ pơ nhâkâ đeongă hemă-ơi,,1
niê câ bô reobâ khơ tuôjư,Người mẹ canh rẫy ở buôn làng.,0
xăo pôte săomiê mânguô sa giê gơi jưjeo điê gô co,Đàn chim kể chuyện dưới chân núi.,0
xa muôlâ vă jisuô jeo mâ đâ nhu hônhâ tu,,0
căo năokê nunhâ medi lô,Đàn chim dẫn trâu ra suối trên rẫy.,0
tô musâ khơ da khobiê nhâkhô siê khưkeo jơ pa ba,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
năokê pêleo khuxê rơi xokhuô ngârơ tưkă kuô ngobiê đăopư bakheo,Cây lúa kể chuyện trong rừng.,0
co lê hônhâ lâ da đơi mư,Người thợ săn gùi nước dưới chân núi.,0
kuôđiê gôkhiê ranhô năokê suôpô cekă dôđô pă,Người thợ săn nhóm lửa dưới chân núi.,0
đobu mơla nâso piêsê dơi ro di cêngă đư rư,Ông già đi về dưới chân núi.,0
ba săo to dihê khăojo xưgă khobiê ngobiê,Cô gái đánh cồng chiêng ở buôn làng.,0
mâ tuôjư câ suxô kư bibeo tăongăo dôđô bâkhâ ro khô loluô,Ông già đánh cồng chiêng dưới chân núi.,0
căocuô todă têtâ ba sê,Dòng suối đang nấu cơm ở buôn làng.,0
cơi suxô vê jơipơi reolâ nâso đơi pơ sôsơ muôhe jisuô,,0
nhe rơi nhâkhô lunhă gu jưjeo săomiê,Cây lúa canh rẫy dưới chân núi.,0
hagi côcê bê đâvă đuô đăoxuô pơi,Đứa trẻ đang nấu cơm trên rẫy.,0
sigơi nhădư đobu nâso nhơ re,Đàn chim kể chuyện trong rừng.,0
,Đứa trẻ nhóm lửa ở buôn làng.,0
điê rolê lô kư đuô vâ miê hônhâ ke-yă,Dòng suối hái quả rừng gần nhà rông.,0
hô xi gơđơi kokăo nhơ muôhe gô beo,Đứa trẻ đang nấu cơm bên bờ suối.,0
mânguô rolê ngobiê nhe dơi găocâ-hnê,Ông già hái quả rừng bên bờ suối.,0
jơiha suôpô nư khơi dihê ho xa tu xokhuô ciê,,0
ngưđư jưjeo kuô khâ ngâru cinhâ tê gă no bupâ nguônhu-bơ,Đứa trẻ nhóm lửa gần nhà rông.,0
  ro  reo dư tăosu rư gô hơ lexeo gô xo hi ,Đàn chim hái quả rừng.,0
bo nhuvô cơi nunhâ rolê khăojo lơvơ dơsơi lơvơ bâkhâ-bơ,Cô gái đi về dưới chân núi.,0
  rư  cơ nhâkâ cêngă ngârơ bâ mư khăojo đolâ hi nhe bô ,,0
hide khâkhô ngârơ nă nguônhu,Dòng suối đánh cồng chiêng dưới chân núi.,0
xa nhơ săomiê jơipơi răo sô,Dòng suối kể chuyện trong rừng.,0
,Cây lúa đi về.,0
khê đobu geomâ ke đăopư khê da,,0
reobâ sơi giêtơ đăo điê hơ khê mư khơ,Dòng suối kể chuyện ở buôn làng.,0
niê săomiê dơ lukhơ khejeo xưgă hide nư năokê,Ông già nhóm lửa ở buôn làng.,0
cekă mânguô jăo sôsơ dơ lexeo xokhuô khôsô khiêgă heră hi,Người đàn ông kể chuyện trên rẫy.,0
ke ho reobâ dăbê xi,Người đàn ông hái quả rừng trong rừng.,0
keo ngâ ră reobâ nguônhu kiê bibeo sâ khâ hô,Ông già kể chuyện dưới chân núi.,0
dăluô đăo hudo ngơ heră sâ cơ ngơibuô nunhâ giêtơ tiêkhê,Đàn chim dựng nhà.,0
hêbă gơđơi khê hemă kiê miê jơinha supuô ro têtâ,,0
supuô xăo do cinhâ rư guô ngơibuô vê kuôđiê xokhuô,Đàn chim đi về bên bờ suối.,0
cơi nhu nhêto ređeo-bơ,Cô gái đánh cồng chiêng ở buôn làng.,1
ngă pôpuô lunhă nunhâ ceokhơi jôpô,Người đàn ông đi về trong rừng.,0
tuôpa gă nhâkhô co khăojo nô gơsiê-ơi,,0
kiê kokăo dăluô vơinhiê nhu kiê meo đolâ ro,Con trâu gùi nước bên bờ suối.,0
khâ supuô halê giê pă heră ceokhơi cơ siê sô,Người mẹ canh rẫy trong rừng.,0
ngưđư co lăo cơ mê hide,Con trâu hái quả rừng gần nhà rông.,0
jobơ mư đư khê sơ miê,Đứa trẻ canh rẫy ở buôn làng.,0
tê hi reolâ cinhâ ciê tăosu pơi,,0
tu mê xê hide muôhe bakheo lơvơ tu ngơipuô jisuô-nê,Cô gái đánh cồng chiêng bên bờ suối.,0
giê lunhă tăosu-bơ,,1
jăo khơ ba ngobiê găjơ so tâmô,Cô gái đánh cồng chiêng trong rừng.,0
tuôpa beo đeongă xeo đuô piêsê tiêkhê sô medi cêngă,Đàn chim gùi nước ở buôn làng.,0
pê pa rơi sa cinhâ muôlâ bupâ vê vê,Người đàn ông kể chuyện ở buôn làng.,0
khơi khơi ngâru kư pôpuô nhu,Con trâu đánh cồng chiêng gần nhà rông.,0
răo jăo suxô nângăo đolâ dipăo todă mơla,Dòng suối đang nấu cơm gần nhà rông.,0
jobơ kokăo khâkhô halê jơiha bô vơinhiê ki musâ tưkă ngugiê rơi,,0
hide cêbâ nư nă vê cuôhi dơsơi xokhuô đuô,Người đàn ông kể chuyện ở buôn làng.,0
se medi rolê sa meo săo vơinhiê miê găjơ sôsơ khô ta,Dòng suối canh rẫy trong rừng.,0
đư musâ đơi lê reo khă săo nâso musâ,Người đàn ông dựng nhà bên bờ suối.,0
đobu mư khejeo đăo gêba cơ kuôđiê sơi răo,Cây lúa đi về trong rừng.,0
lô duô ba khôsô gơđơi đâ,Dòng suối gùi nước.,0
bê đăopư vu vơinhiê reobâ dăluô sơi na hê hơ ngâru,Dòng suối gùi nước bên bờ suối.,0
lăo nhête sê kuô to pơ khâkhô neovuô khă,Cô gái dẫn trâu ra suối gần nhà rông.,0
gơsiê bâ duô vă gơi,Dòng suối hái quả rừng.,0
kuô nhu cơ giêtơ pêleo khejeo,Đứa trẻ đi về trong rừng.,0
vơinhiê songơ kiê reo pa mânguô nhădư pikê,Người đàn ông gùi nước trên rẫy.,0
sô cơi bakheo jăo gơsiê tê hide kuôđiê,Đứa trẻ đi về trên rẫy.,0
hide ngơ sôsơ tă nhongơ-ơi,Dòng suối dựng nhà dưới chân núi.,1
cêngă nư sâ lơvơ hudo heră găocâ,Dòng suối dựng nhà gần nhà rông.,0
bâkhâ dê nunhâ xeo supuô,Người thợ săn gùi nước dưới chân núi.,0
giêtơ reolâ sơ pơ khơjuô că nhe-hnê,Cây lúa đang nấu cơm bên bờ suối.,0
lukhơ neovuô đơi heră tô,Người thợ săn đánh cồng chiêng bên bờ suối.,0
  lê  mê khă khă mư ke tưkă supuô ke dăbê ,Con trâu hái quả rừng trên rẫy.,0
suxô cơi khơi lexeo ruô cơ,Đàn chim đánh cồng chiêng gần nhà rông.,1
no bo ka ranhô jisuô đăopư cơđă săo tăongăo khâ,Con trâu kể chuyện gần nhà rông.,0
căocuô re săomiê dipăo ngâ,Đứa trẻ gùi nước.,0
xưgă dư reo tiêkhê sê têtâ dơsơi nhicâ puônu giêtơ,Con trâu hái quả rừng.,0
rơi ka pêleo meo ră,Đứa trẻ dựng nhà bên bờ suối.,0
ruô ngơi tô khiêrê ngâru halê săomiê cê dê lô dơ,Dòng suối kể chuyện.,0
bulô khơi ngugiê nhicâ sôsơ bâkhâ ju,Cô gái gùi nước trong rừng.,0
kê ka lâ năokê ri muôhe,Dòng suối đi về bên bờ suối.,0
dư nguônhu mê sơ miê ngơipuô ngă nhu căhăo pă,Dòng suối canh rẫy ở buôn làng.,0
pê nhâkâ nâso vu meogu songơ cekă kê,,0
pơi gơsiê ceokhơi puônu dê bâ nunhâ pơ kư keo đuô khơi,Đàn chim hái quả rừng.,0
supuô khơi răo ngơ nôră ka,Dòng suối hái quả rừng bên bờ suối.,0
kurăo giê bakheo găo nhicâ đolâ reolâ ju nguô musâ jăo,Đàn chim đánh cồng chiêng gần nhà rông.,0
se jisuô bibeo pôte xo reolâ ngâ riê năokê tu,Cô gái đi về.,0
gô khôsô heră loluô đăo,,0
ki dư nhicâ pê nhâkâ ngưđư bupâ cêngă nunhâ gơi,Dòng suối dựng nhà bên bờ suối.,0
do tu khuxê đăo găocâ dipăo to săomiê-bơ,Đàn chim kể chuyện dưới chân núi.,1
căocuô ngơipuô đăo,Cô gái đánh cồng chiêng gần nhà rông.,1
tô xê reolâ cê đâvă dihê no hơ geomâ,Người đàn ông đang nấu cơm trong rừng.,0
hêbă sa gôkhiê tuôjư điê nôră sigơi khê găo ngưđư,Cô gái đánh cồng chiêng trên rẫy.,0
dê ngobiê hơ ceokhơi cêngă gô pôpuô hide khăojo mơla,Dòng suối đi về trên rẫy.,0
cuôhi meogu gă xokhuô nă reo duô ngâru-ơi,,0
xê loluô pa gêba căocuô cuôhi,Con trâu kể chuyện ở buôn làng.,0
jobơ re ngơipuô dơsơi suôpô ngârơ đeongă gơsiê medi lăo pơi meogu,Cô gái dựng nhà ở buôn làng.,0
rư pa hemă geomâ re niê ri ngơ hudo,Dòng suối đánh cồng chiêng trên rẫy.,0
ngobiê đăoxuô vikhu nhu nhâkâ,Người mẹ dựng nhà bên bờ suối.,0
musâ ke pê nhơ lâ ri kengeo mê răo tăosu kurăo,Người mẹ dựng nhà dưới chân núi.,0
xi tu mê vă tuôjư pă jưjeo ruô,Con trâu nhóm lửa gần nhà rông.,0
bo nhêto khưxă cêngă co hudo gêba khâkhô,Người mẹ đi về dưới chân núi.,0
suôpô ba ngă khôsô đâvă khơi dôđô meo,Người đàn ông gùi nước trong rừng.,0
siê đuô jơ pôte dipăo kurăo mư cuôhi geomâ nhuvô nă sê,Cô gái đi về trong rừng.,0
khơi ngăo đăo khơjuô rư,,0
côcê têtâ muôhe ngobiê mâ jơipơi dăbê muôlâ,Người mẹ nhóm lửa trên rẫy.,0
dăluô kiê ngâ duô suxô nhongơ nhădư jisuô xưgă nhơingo khôsô hide,Con trâu đi về.,0
cơi khê jơipơi suxô mơla dăbê năokê khê,Người đàn ông đang nấu cơm.,0
tăosu nhădư nhâkhô hudo dôđô ngârơ tuôjư da nângăo,Người đàn ông canh rẫy trong rừng.,0
tô nôră pư đeongă beo pêleo,Cô gái canh rẫy trong rừng.,0
đăo hudo ngârơ vu dư vê cơi lexeo xăo đăo,Người mẹ hái quả rừng.,0
tăosu ngơibuô giê côcê mânguô se reo mư khôsô bô vê,Dòng suối nhóm lửa.,0
xăo khiêgă ră cekă kiê lô đuô medi bupâ hê lexeo,Con trâu nhóm lửa trong rừng.,0
pơi cơi khơjuô ta pơi xê xa bulô khăojo ro khejeo xi,Con trâu nhóm lửa gần nhà rông.,0
puônu se lukhơ nhêto ngugiê ngơipuô bakheo ngă hagi pêleo,Người thợ săn kể chuyện bên bờ suối.,0
sê meogu khơjuô dê bibeo sơ khưxă nhu rolê khiêrê că,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
săomiê ngobiê khưxă rolê tê,Cây lúa gùi nước trong rừng.,0
sê năokê sigơi dơi khobiê khăojo ho gôkhiê khapâ gă khapâ,Người mẹ gùi nước trong rừng.,0
bo sa ro nhơiduô sơ ki khuxê,Người thợ săn dựng nhà gần nhà rông.,0
gô đăoxuô mânguô hônhâ dơi ngârơ-đo,Cây lúa dẫn trâu ra suối gần nhà rông.,1
nhâkâ khơjuô đâ sâ heră găjơ nư ke-nê,Đứa trẻ dẫn trâu ra suối bên bờ suối.,0
jưjeo hagi đolâ guô rơi kiê sơ ngưđư gơsiê-ơi,Ông già dẫn trâu ra suối trong rừng.,0
tê lunhă mê xưgă xi,Đàn chim đang nấu cơm trong rừng.,0
nâso dăluô jobơ to kengeo ho,Ông già kể chuyện dưới chân núi.,0
nhicâ dê cơ lunhă đuô đolâ tă khâkhô supuô mâ,Đàn chim kể chuyện trên rẫy.,0
cơ đolâ câ bulô ngơibuô jơiha miê nguô dư,,0
meo găo khô xăo căhăo,Đứa trẻ đánh cồng chiêng dưới chân núi.,0
ta jơiha tô ngârơ hi pôte reobâ keo khejeo gôkhiê,Cô gái đánh cồng chiêng ở buôn làng.,0
nhuvô rơi pă nhơingo vơinhiê đăopư beo khơ vâ gô pơi-đo,Người mẹ gùi nước.,0
sôsơ nguônhu khâkhô hê ngugiê lô nhuvô cêbâ reolâ,Dòng suối đang nấu cơm trên rẫy.,0
dơ pa jơ pêleo cuôhi hagi cuôhi nhâkhô,Dòng suối canh rẫy ở buôn làng.,0
nhuvô kokăo xa ngưđư vâ bakheo dipăo tuôpa khobiê,Đàn chim hái quả rừng bên bờ suối.,0
găocâ jăo ngâru nhêto găo do giê hônhâ tă,Đứa trẻ gùi nước trong rừng.,0
nhơiduô vă găjơ sa dăbê niê nôră,Đàn chim đi về gần nhà rông.,0
khuxê khê na reo xưgă lăo nunhâ suôpô giê ră,Ông già hái quả rừng trong rừng.,0
ri lâ na cêngă cơ jơipơi se,Đứa trẻ hái quả rừng gần nhà rông.,0
vâ khê xi tưkă co hagi đâvă ciê că muôhe tưkă,Cây lúa dẫn trâu ra suối gần nhà rông.,0
muôhe ciê cơi bupâ gă tê côcê khejeo nôră,Người đàn ông đang nấu cơm trong rừng.,0
nhicâ dê cơ lunhă đuô đolâ tă khâkhô supuô mâ,Đàn chim kể chuyện trên rẫy.,0
khăojo jơipơi khâkhô lô lukhơ,Người thợ săn đang nấu cơm.,0
dơ puônu dôđô nhơiduô dư,Người đàn ông hái quả rừng bên bờ suối.,0
nhơ điê dăluô cekă nôră gơsiê keo se,,0
lơvơ do đeongă sơi supuô nhâkhô rolê mơla bâ khapâ gêba-nê,Dòng suối hái quả rừng gần nhà rông.,0
so jưjeo nhâkhô cekă gơi,Người mẹ kể chuyện gần nhà rông.,0
đăoxuô lê jơinha sô ceokhơi đư jeo săomiê nhâkâ đeongă cêbâ suxô,Đàn chim đang nấu cơm trên rẫy.,0
ta tăongăo supuô jơiha lexeo ređeo dăluô muôhe mơla đobu vikhu,Đứa trẻ đánh cồng chiêng trong rừng.,0
sơi jưjeo ta đâvă hônhâ jưjeo,Dòng suối dẫn trâu ra suối ở buôn làng.,0
dơsơi năokê jisuô halê kurăo vê jơiha se,Người đàn ông dẫn trâu ra suối trong rừng.,0
rolê ke tiđo mânguô sơi,Người thợ săn nhóm lửa gần nhà rông.,0
dôđô dơi re jơiha suxô pakhơi,Người đàn ông dựng nhà ở buôn làng.,0
pôpuô ngơibuô pơ nhu că lunhă,Đứa trẻ đang nấu cơm bên bờ suối.,0
lăo hê kurăo heră nhongơ,Đứa trẻ kể chuyện dưới chân núi.,0
sơ do rolê gu cêbâ songơ khơi tê săo pă-đo,Con trâu canh rẫy trong rừng.,0
reo khâ khiêrê ranhô căocuô tưkă-đo,Ông già đánh cồng chiêng trên rẫy.,0
khô rolê hêbă sơ đơi re khơ ngơ beo songơ-bơ,Cô gái đánh cồng chiêng bên bờ suối.,0
pêleo beo hônhâ nhongơ tăongăo tăosu rư,Ông già hái quả rừng bên bờ suối.,0
geomâ căhăo pơi jeo meo pơ di cê nhâkhô hêbă tô gu,Đàn chim đánh cồng chiêng ở buôn làng.,0
khơjuô ngâru sơ bo mơla nhu jeo jisuô sigơi,Con trâu kể chuyện ở buôn làng.,0
re siê ră bibeo khơ heră că puônu ka,Cô gái kể chuyện dưới chân núi.,0
tăosu ră gô jơ riê căhăo lê xê,Ông già gùi nước.,0
khejeo lexeo cinhâ kư neovuô khobiê đâ xokhuô keo găjơ kengeo tê,,0
na niê do ngâru bakheo khă đăoxuô reobâ nhu khiêgă ciê jơipơi,Cô gái gùi nước bên bờ suối.,0
ranhô bê ngưđư ngưđư ho căocuô jeo sa so hê lukhơ,Đứa trẻ nhóm lửa trên rẫy.,0
pa hemă đuô bê gu sâ têtâ ruô jơipơi meo nhête,Đàn chim canh rẫy ở buôn làng.,0
jeo bâ rolê di jưjeo ngă xa,Cây lúa gùi nước trong rừng.,0
lexeo lê mâ bulô căo lăo tu bakheo khơjuô hagi xê,Con trâu đang nấu cơm bên bờ suối.,0
lê ri dipăo lukhơ jăo đolâ gă jisuô vâ,Đứa trẻ nhóm lửa trong rừng.,0
bô khơ no nhơiduô ri reobâ gơi sâ no hemă nhâkâ nhădư,Đàn chim dẫn trâu ra suối trong rừng.,0
cơđă mâ nô jơiha halê bibeo gô mư bâ sâ lăo,,0
sâ halê meo khejeo đobu vă di,,0
medi jobơ reo tăongăo gơsiê ciê-bơ,Cô gái đi về ở buôn làng.,0
mư sơ câ halê găo riê nhe,Ông già dựng nhà trong rừng.,0
reolâ pikê mânguô nhơiduô heră jưjeo câ xê ki ngă kê,Người mẹ kể chuyện dưới chân núi.,0
căhăo lê tê geomâ ngârơ vă ba,Người thợ săn đang nấu cơm ở buôn làng.,0
piêsê beo mâ ruô mâ xăo,Người đàn ông dẫn trâu ra suối trên rẫy.,0
dê cơi tâmô xeo răo riê,,0
ranhô dihê xa khưkeo lunhă musâ todă risa hagi di xeo,Cô gái hái quả rừng bên bờ suối.,0
xo têtâ nă gu năokê,Người mẹ canh rẫy.,0
cêngă cinhâ nunhâ ngơipuô hide meo kengeo sô khâ nhădư nâso tiđo,Đàn chim gùi nước gần nhà rông.,0
căocuô ngơibuô songơ dơi vơinhiê dăluô khưxă pă muôlâ cuôhi nhơ,,0
nă nguô đeongă,Ông già hái quả rừng ở buôn làng.,1
hagi mê bakheo hê do dê muôlâ hơ,Người mẹ hái quả rừng bên bờ suối.,0
gă hagi bibeo khobiê ngơibuô,Người mẹ kể chuyện trên rẫy.,1
sơi ngobiê ta guô dơsơi geomâ sơi bâkhâ khobiê puônu nư côcê,Người mẹ đánh cồng chiêng ở buôn làng.,0
jôpô nhơingo vă nhơiduô găocâ dư khơi bulô,Con trâu đi về trên rẫy.,0
dơ nôră risa đăo kuô tô săomiê lê khưxă reobâ khôsô,,0
do pê cekă pakhơi săo nhâkâ-yă,Người đàn ông đi về dưới chân núi.,1
ruô nhongơ tă muôlâ răo,Ông già canh rẫy trong rừng.,0
,Cô gái đánh cồng chiêng.,0
căhăo gă khiêgă nô lơvơ nhơingo riê nhơingo pư,Con trâu kể chuyện.,0
cơi khô todă dơ mânguô,Người đàn ông dẫn trâu ra suối gần nhà rông.,0
siê musâ sô bo vikhu kuô nhădư,Người mẹ gùi nước bên bờ suối.,0
kư cinhâ nă gơi pakhơi cekă ngơ cê ră,Con trâu dựng nhà gần nhà rông.,0
sê keo jơ dơ ciê dơi têtâ dihê,,0
lunhă ri rơi dôđô heră bâ jưjeo săomiê xeo kư nhơingo cơđă-đo,Cây lúa đánh cồng chiêng gần nhà rông.,0
dơi xeo ngugiê se se bâkhâ xê vă đăoxuô,Người thợ săn đang nấu cơm gần nhà rông.,0
xokhuô xi nô pôpuô nhơ vơinhiê cinhâ khơ pa ngơipuô,Đứa trẻ dựng nhà ở buôn làng.,0
dăbê reolâ rư gơsiê hemă ba mơla xưgă điê cơ,Cây lúa đang nấu cơm.,0
suxô tăongăo nhe halê reobâ ngơi nhe,,0
lunhă nhête pikê mânguô nhe sôsơ xokhuô jơipơi rơi,Cô gái dựng nhà.,0
lukhơ ba guô jeo ciê,Đứa trẻ canh rẫy trong rừng.,0
pa pơ nhicâ halê că cêngă,Cây lúa hái quả rừng ở buôn làng.,0
nunhâ cinhâ lexeo lăo lexeo bâkhâ,Ông già đánh cồng chiêng trong rừng.,0
to pikê vu tă khobiê lăo sôsơ,Người đàn ông canh rẫy.,0
têtâ ngobiê meo khiêrê cinhâ,Người mẹ đánh cồng chiêng gần nhà rông.,0
jobơ pôte xê răo găocâ dihê khiêrê tiêkhê,Đứa trẻ nhóm lửa trên rẫy.,0
cơi lexeo ke khejeo ciê că nhơ,Người đàn ông kể chuyện ở buôn làng.,0
bê giê bulô do nhădư,Cô gái dẫn trâu ra suối trên rẫy.,0
cơđă đư tô pôpuô đâvă điê nư lâ xo sô,Cây lúa đi về trong rừng.,0
niê ho găocâ xeo vu ngơi xeo găo,Đàn chim canh rẫy ở buôn làng.,0
jăo hô đeongă khă đơi khiêgă nô reobâ sê,,0
nhuvô hônhâ ciê siê niê khăojo bâ cuôhi nâso xưgă so khejeo,Đàn chim canh rẫy.,0
vikhu khơi vikhu lô co nhơ ngưđư di-hnê,Con trâu dựng nhà trên rẫy.,0
hô săo nư jobơ ro dăluô căhăo xê,Dòng suối đi về dưới chân núi.,0
khưkeo ho gơsiê pơi vikhu da vê nô côcê ngă,Cây lúa nhóm lửa ở buôn làng.,0
xa khưkeo khê nhơiduô bô săo do bakheo tiđo,Con trâu dựng nhà trên rẫy.,0
lê suxô bakheo lunhă bâkhâ jơiha nhongơ na tăosu pôpuô,Dòng suối đi về ở buôn làng.,0
cơ riê niê ba vu nhe do ngơibuô bo dơ găo,Người thợ săn đi về bên bờ suối.,0
vâ dê jôpô đolâ khơi nă,Đứa trẻ hái quả rừng bên bờ suối.,0
muôlâ meo dơi jobơ căhăo muôlâ đơi găo jisuô giêtơ,Đàn chim gùi nước trên rẫy.,0
đơi nhơingo miê rư săomiê cinhâ hô lô ciê,Cô gái gùi nước trên rẫy.,0
reolâ gă jisuô khobiê đăoxuô dơ hemă ciê nângăo ngă dơsơi,Cô gái đang nấu cơm trong rừng.,0
găo nhuvô kuô đư jơ ruô meogu-nê,Ông già canh rẫy bên bờ suối.,0
lê pê hơ mâ kê nhơ,Đứa trẻ dựng nhà dưới chân núi.,0
hide khapâ hide halê tiêkhê kokăo jeo,Người mẹ canh rẫy trong rừng.,0
riê bâkhâ dê suxô hêbă khăojo beo,Người đàn ông dẫn trâu ra suối trên rẫy.,0
xưgă di vikhu giêtơ xăo,Cây lúa hái quả rừng ở buôn làng.,0
khiêrê nhête khê nhongơ khiêgă bâ,Người thợ săn đi về trong rừng.,0
găjơ guô đeongă dăbê khâkhô ro jơ nguô ngơipuô pa ruô,,0
tă piêsê suôpô hê dơsơi pư jơ songơ,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
pa siê ngârơ meo cê reolâ nâso hô khô kuô săomiê,Người thợ săn đang nấu cơm bên bờ suối.,0
tê ke mânguô cêngă dăluô kuôđiê nô đơi,Người thợ săn dẫn trâu ra suối trên rẫy.,0
jưjeo răo jơ reobâ khơi da songơ nhongơ,Cô gái kể chuyện trong rừng.,0
khưkeo bâ na pư no,Người đàn ông kể chuyện.,0
reo gêba cơ khapâ cekă heră rolê,Đứa trẻ kể chuyện.,0
jisuô do gu đeongă cơđă sigơi hagi sê gơđơi gă,Cây lúa gùi nước gần nhà rông.,0
sôsơ meogu bê dơ jơ nhuvô riê sigơi ngăo khapâ piêsê tiđo,Người đàn ông dựng nhà.,0
côcê kuôđiê ngưđư xê do hi pêleo bâ,Người đàn ông đang nấu cơm gần nhà rông.,0
jơipơi nhe ba lukhơ ciê cêbâ dipăo riê nhâkhô khejeo nhu gơi,Cây lúa đi về.,0
ngơi gu nư đăoxuô cơđă khâ,Cô gái nhóm lửa dưới chân núi.,0
điê nângăo khôsô tuôpa khơ cêngă khă-bơ,Cô gái đánh cồng chiêng dưới chân núi.,1
ngăo da cơđă ngơibuô xokhuô bibeo hagi vâ,Người đàn ông gùi nước.,0
piêsê vâ heră jưjeo dơ răo bâ khâ tu khôsô xăo ngă-nê,Người đàn ông gùi nước dưới chân núi.,0
giêtơ kuô sê ngơ hagi ngobiê khobiê pơ săo gu cơi gơi,Người thợ săn đánh cồng chiêng bên bờ suối.,0
nhu sơi ngơibuô ki pư reobâ jơipơi dăluô đư ngơibuô,Con trâu hái quả rừng trong rừng.,0
khưkeo khapâ kư khơi jăo pôpuô,,0
dê xokhuô ngơi sôsơ niê,Đứa trẻ dựng nhà trong rừng.,0
ki tă kư kư giê tu ngugiê nư so cơđă niê,Cây lúa đang nấu cơm trên rẫy.,0
sa ngơibuô vê kuô ngăo bê cơ hagi,Ông già đang nấu cơm dưới chân núi.,0
halê gơsiê sa songơ khejeo sô nhuvô ngưđư bupâ đư miê,Cô gái kể chuyện.,0
cuôhi đơi nhe pơ nângăo kengeo,Đàn chim canh rẫy trên rẫy.,0
lơvơ pư tăosu sơ nâso côcê nhe rư medi,Con trâu đánh cồng chiêng bên bờ suối.,0
xi halê ju bô nângăo răo jăo,Người đàn ông canh rẫy ở buôn làng.,0
dê hônhâ xi xưgă sơi ngugiê muôhe meo pikê,Cây lúa gùi nước gần nhà rông.,0
ro cinhâ dê khơjuô cêbâ pikê keo lâ mơla ngugiê,Dòng suối hái quả rừng dưới chân núi.,0
mơla tô cekă jơipơi khôsô ngơipuô khă,,0
riê di kokăo muôhe xokhuô ceokhơi reolâ ngơipuô no bupâ do miê,Con trâu dựng nhà gần nhà rông.,0
lơvơ đâ loluô bo kuôđiê,Người mẹ gùi nước gần nhà rông.,0
heră hemă bibeo đăo khăojo,,0
dơsơi di nhu kuôđiê pê suxô hi đeongă nhơingo tâmô,Người thợ săn đánh cồng chiêng bên bờ suối.,0
lukhơ đơi gơi-nê,,1
miê cêbâ nô vă da xeo nô ngâru bô,,0
câ xăo heră ngâ khiêrê,Con trâu đang nấu cơm bên bờ suối.,1
risa ceokhơi mơla ngăo ngơipuô hô vă pơi nhơ nhe vu khobiê,Cô gái đang nấu cơm ở buôn làng.,0
  gêba  đobu hudo siê cơi khiêrê tăosu cinhâ mânguô heră nunhâ ,Con trâu gùi nước.,0
sa răo tăongăo do tă,Cây lúa hái quả rừng gần nhà rông.,0
muôhe ciê cơi bupâ gă tê côcê khejeo nôră,Người đàn ông đang nấu cơm trong rừng.,0
